topic_id,Topic 1 Label,Topic 1 URL,Topic 2 Label,Topic 2 URL,Number,File,Distribution,token1,token2,token3,token4,token5,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
EU_en_Pres3-50_11,,,,,11,EU_en_Pres3-50,0.11231,member,states,article,directive,State,commission,provisions,respect,paragraph,case,referred,insurance,financial,VAT,provided,amount,payment,persons,resources,
EU_en_Pres3-50_12,,,,,12,EU_en_Pres3-50,0.03878,kingdom,united,Ireland,total,figures,year,planned,construction,Netherlands,report,capacity,Germany,sets,number,Italy,transport,thermal,France,projects,
EU_en_Pres3-50_13,,,,,13,EU_en_Pres3-50,0.02191,convention,parties,protocol,commerce,states,contracting,acp,treaty,sea,party,law,united,concerning,pollution,notes,jurisdiction,areas,navigation,international,
EU_en_Pres3-50_14,,,,,14,EU_en_Pres3-50,0.04048,eec,council,decision,regulation,community,commission,december,european,oj,acts,examination,concerning,agreement,states,amending,annex,ii,accession,ECSC,
EU_en_Pres3-50_15,,,,,15,EU_en_Pres3-50,0.01995,fishing,vessels,vessel,fisheries,north,catches,species,zone,fishery,referred,licence,licences,community,fish,west,point,annex,area,Norway,
EU_en_Pres3-50_16,,,,,16,EU_en_Pres3-50,0.03824,staff,appropriation,officials,cover,financial,expenditure,budget,committee,posts,year,expenses,general,members,regulations,article,allowances,court,communities,service,
EU_en_Pres3-50_17,,,,,17,EU_en_Pres3-50,0.05611,community,production,year,prices,market,tonnes,consumption,countries,increase,member,imports,total,exports,milk,world,price,states,products,butter,
EU_en_Pres3-50_18,,,,,18,EU_en_Pres3-50,0.01368,steel,will,coal,sheet,hot,peat,brown,steels,development,rolled,years,control,surface,strip,high,properties,Ecu,furnace,methods,
EU_en_Pres3-50_19,,,,,19,EU_en_Pres3-50,0.02575,regions,development,aid,measures,programme,special,regional,measure,community,tourism,specific,areas,fund,programmes,operations,AIDS,agricultural,industry,services,
EU_en_Pres3-50_20,,,,,20,EU_en_Pres3-50,0.03015,appropriations,expenditure,budget,Ecu,council,appropriation,community,oj,general,financial,draft,preliminary,regulation,eec,article,entered,european,total,commitments,
EU_en_Pres3-50_21,,,,,21,EU_en_Pres3-50,0.02422,acp,financing,financial,cooperation,loans,technical,export,terms,article,convention,countries,interest,projects,development,bank,lome,EDF,states,aid,
EU_en_Pres3-50_22,,,,,22,EU_en_Pres3-50,0.33882,regulation,article,council,eec,commission,community,proposal,member,regard,european,states,treaty,economic,paragraph,force,rules,establishing,referred,amended,
EU_en_Pres3-50_23,,,,,23,EU_en_Pres3-50,0.03892,Ecu,projects,mio,fund,regional,loans,investment,community,total,infrastructure,development,commission,financial,grants,assistance,project,interest,programmes,year,
EU_en_Pres3-50_24,,,,,24,EU_en_Pres3-50,0.03452,eec,regulation,commission,council,directive,community,amended,portuguese,june,decision,december,july,Portugal,marketing,laying,milk,products,accession,rules,
